class_id,class_name,support,roc_auc,pr_auc,f1,precision,recall
188,whfant1,28,0.7842002764166353,0.12201665043934705,0.05673758865248227,0.030379746835443037,0.42857142857142855
189,whmtyr1,7,0.8182865154473987,0.004659542912059957,0.0,0.0,0.0
190,whtdov,184,0.7332326782891788,0.11416233042252594,0.14826021180030258,0.08611599297012303,0.532608695652174
191,whttro1,17,0.8761463152676802,0.137851855906263,0.07608695652173914,0.041916167664670656,0.4117647058823529
192,whwswa1,10,0.8622128704190776,0.014150090899200747,0.03125,0.016483516483516484,0.3
193,woosto,5,0.8271899088997897,0.039181858503146524,0.10714285714285714,0.058823529411764705,0.6
194,y00678,34,0.8315905865780014,0.11183389407438811,0.11650485436893204,0.06976744186046512,0.35294117647058826
195,yebela1,69,0.7690403557965879,0.1304577297158718,0.10152284263959391,0.05747126436781609,0.43478260869565216
196,yebfly1,45,0.8139908256880735,0.06247749679443433,0.0547945205479452,0.028761061946902654,0.5777777777777777
197,yebsee1,41,0.7645773848429599,0.047382183100112524,0.046255506607929514,0.02422145328719723,0.5121951219512195
198,yecspi2,52,0.8973917356270297,0.18798556837039107,0.15508021390374332,0.09006211180124224,0.5576923076923077
199,yectyr1,26,0.7547442885934181,0.043411772736564,0.038523274478330656,0.020100502512562814,0.46153846153846156
200,yehbla2,17,0.83022141440846,0.1316234526480774,0.046052631578947366,0.024390243902439025,0.4117647058823529
201,yehcar1,49,0.7824462412083477,0.08604974329650435,0.0738255033557047,0.04021937842778794,0.4489795918367347
202,yelori1,13,0.7304453441295546,0.005074740163702999,0.012903225806451613,0.006734006734006734,0.15384615384615385
203,yeofly1,109,0.7830931706710149,0.11217328903893756,0.09957805907172995,0.05483271375464684,0.5412844036697247
204,yercac1,73,0.7128473234236861,0.048127500402853504,0.0777479892761394,0.04309063893016345,0.3972602739726027
205,ywcpar,28,0.8290740042718934,0.1756634505408426,0.07177033492822966,0.038461538461538464,0.5357142857142857
